t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.006,0.500000,0.500000,0.675000,0.575000,0.401325,0.115238,0.968889,0.056000,0.857887,-0.513839
0.018,0.724000,0.672800,0.674825,0.574925,0.392844,0.124155,0.968889,0.056000,-0.863493,0.504361
0.034,0.729284,0.676876,0.674650,0.574850,0.384815,0.132401,0.968889,0.056000,-0.868565,0.495576
0.050,0.734251,0.680708,0.674476,0.574775,0.376723,0.140448,0.968889,0.056524,-0.875289,0.483600
0.067,0.739214,0.684537,0.674301,0.574700,0.368123,0.148988,0.968889,0.057881,-0.875611,0.483018
0.084,0.744482,0.688600,0.674127,0.574626,0.359485,0.157405,0.968889,0.060066,-0.879408,0.476068
0.101,0.749745,0.692660,0.673953,0.574551,0.350746,0.165475,0.968889,0.063095,-0.889748,0.456451
0.118,0.755002,0.696716,0.673779,0.574477,0.341914,0.173211,0.968889,0.066945,-0.899183,0.437572
0.135,0.760254,0.700767,0.673605,0.574402,0.332931,0.180363,0.968889,0.071471,-0.914541,0.404493
0.153,0.765500,0.704815,0.673431,0.574328,0.323875,0.187208,0.968889,0.076697,-0.922008,0.387172
0.168,0.770742,0.708858,0.673258,0.574253,0.315248,0.193187,0.968889,0.082276,-0.933203,0.359349
0.185,0.775670,0.712660,0.673085,0.574179,0.306574,0.198944,0.968889,0.088522,-0.938253,0.345949
0.200,0.780593,0.716458,0.672912,0.574105,0.297880,0.204599,0.968889,0.095433,-0.940475,0.339864
0.217,0.785512,0.720252,0.672739,0.574031,0.288604,0.210416,0.968889,0.103513,-0.944339,0.328973
0.233,0.790732,0.724279,0.672566,0.573957,0.279873,0.215884,0.968889,0.111774,-0.944464,0.328614
0.250,0.795641,0.728066,0.672393,0.573883,0.270558,0.221489,0.968889,0.121255,-0.948414,0.317033
0.267,0.800851,0.732085,0.672221,0.573809,0.261223,0.226988,0.968889,0.131425,-0.950396,0.311042
0.284,0.806056,0.736100,0.672049,0.573735,0.251859,0.232330,0.968889,0.142251,-0.953271,0.302116
0.301,0.811256,0.740111,0.671877,0.573661,0.242529,0.237851,0.968889,0.153689,-0.949985,0.312294
0.317,0.816450,0.744119,0.671705,0.573588,0.233705,0.242812,0.968889,0.164972,-0.954519,0.298149
0.333,0.821334,0.747886,0.671533,0.573514,0.224860,0.247651,0.968889,0.176734,-0.956779,0.290814
0.350,0.826213,0.751650,0.671362,0.573441,0.215477,0.252881,0.968889,0.189725,-0.955242,0.295825
0.367,0.831392,0.755645,0.671190,0.573367,0.206097,0.258129,0.968889,0.203180,-0.954937,0.296807
0.384,0.836566,0.759637,0.671019,0.573294,0.196784,0.263746,0.968889,0.217108,-0.948198,0.317679
0.400,0.841735,0.763624,0.670848,0.573221,0.187987,0.268861,0.968889,0.230612,-0.951567,0.307443
0.416,0.846594,0.767373,0.670677,0.573147,0.179311,0.274607,0.968889,0.244470,-0.938495,0.345294
0.432,0.851449,0.771118,0.670506,0.573074,0.170666,0.280499,0.968889,0.258652,-0.935211,0.354091
0.448,0.856299,0.774859,0.670336,0.573001,0.161622,0.287398,0.968889,0.274080,-0.920717,0.390232
0.465,0.861447,0.778831,0.670166,0.572928,0.153320,0.294716,0.968889,0.288882,-0.898116,0.439758
0.482,0.866287,0.782564,0.669995,0.572855,0.144743,0.303332,0.968889,0.304880,-0.873222,0.487323
0.499,0.871425,0.786528,0.669825,0.572782,0.136389,0.312630,0.968889,0.321113,-0.850541,0.525908
0.515,0.876557,0.790487,0.669656,0.572710,0.129105,0.322876,0.968889,0.336562,-0.787949,0.615741
0.532,0.881383,0.794210,0.669486,0.572637,0.121467,0.333992,0.968889,0.353142,-0.777616,0.628740
0.548,0.886505,0.798161,0.669316,0.572564,0.114704,0.345336,0.968889,0.368877,-0.731583,0.681752
0.564,0.891321,0.801877,0.669147,0.572492,0.108630,0.357881,0.968889,0.384716,-0.657009,0.753883
0.581,0.896133,0.805588,0.668978,0.572419,0.102825,0.372142,0.968889,0.401635,-0.591033,0.806647
0.598,0.901240,0.809528,0.668809,0.572347,0.097690,0.387214,0.968889,0.418610,-0.522791,0.852461
0.614,0.906341,0.813463,0.668640,0.572274,0.094094,0.402544,0.968889,0.434604,-0.388932,0.921266
0.631,0.911138,0.817164,0.668472,0.572202,0.090755,0.419171,0.968889,0.451602,-0.339917,0.940455
0.649,0.916230,0.821092,0.668303,0.572130,0.087291,0.436822,0.968779,0.469601,-0.333157,0.942871
0.665,0.921616,0.825246,0.668135,0.572058,0.084648,0.453850,0.968238,0.486573,-0.269079,0.963118
0.683,0.926697,0.829166,0.667967,0.571986,0.084207,0.471512,0.967287,0.503487,-0.044826,0.998995
0.700,0.931773,0.833082,0.667799,0.571914,0.078958,0.486455,0.965863,0.520292,-0.534413,0.845223
0.716,0.936845,0.836994,0.667631,0.571842,0.087899,0.490686,0.964450,0.536089,0.967136,0.254261
0.733,0.941613,0.840673,0.667463,0.571770,0.079471,0.499767,0.962571,0.552749,-0.858021,0.513615
0.750,0.946674,0.844577,0.667296,0.571698,0.077659,0.517143,0.960046,0.569130,-0.184547,0.982824
0.767,0.951730,0.848477,0.667129,0.571626,0.071620,0.531088,0.957016,0.585232,-0.614741,0.788729
0.783,0.956781,0.852374,0.666961,0.571555,0.081329,0.528404,0.954110,0.601407,0.988407,-0.151830
0.800,0.961827,0.856266,0.666794,0.571483,0.073447,0.537100,0.951102,0.616463,-0.852560,0.522630
0.817,0.966571,0.859926,0.666628,0.571412,0.073036,0.554765,0.947304,0.632028,-0.041829,0.999125
0.834,0.971607,0.863811,0.666461,0.571340,0.073523,0.537107,0.944167,0.648063,0.049583,-0.998770
0.851,0.976638,0.867692,0.666295,0.571269,0.073036,0.554765,0.940431,0.663676,-0.049583,0.998770
0.867,0.981664,0.871569,0.666128,0.571198,0.073599,0.538156,0.937498,0.678780,0.060859,-0.998146
0.883,0.986389,0.875214,0.665962,0.571127,0.073036,0.554765,0.934048,0.693526,-0.060859,0.998146
0.900,0.991110,0.878856,0.334204,0.571055,0.073634,0.537118,0.929053,0.707953,0.060859,-0.998146
0.917,0.986099,0.882722,0.334370,0.570984,0.073036,0.554765,0.924126,0.722457,-0.060859,0.998146
0.934,0.981093,0.886583,0.334535,0.570913,0.073634,0.537118,0.919367,0.737140,0.060859,-0.998146
0.951,0.976093,0.890441,0.334701,0.570843,0.073036,0.554765,0.914611,0.751828,-0.060859,0.998146
0.968,0.971097,0.894295,0.334866,0.570772,0.073634,0.537118,0.910044,0.766708,0.060859,-0.998146
0.984,0.966106,0.898145,0.335031,0.570701,0.073072,0.553727,0.905748,0.780716,-0.060859,0.998146
1.000,0.961414,0.901765,0.335196,0.570630,0.073634,0.537118,0.901613,0.794879,0.060859,-0.998146
1.016,0.956726,0.905381,0.335361,0.570560,0.073036,0.554765,0.897257,0.809963,-0.060859,0.998146
1.033,0.951750,0.909219,0.335526,0.570489,0.073599,0.538156,0.893282,0.824274,0.060859,-0.998146
1.050,0.947072,0.912828,0.335690,0.570419,0.073001,0.555803,0.889144,0.839555,-0.060859,0.998146
1.066,0.942106,0.916659,0.335854,0.570348,0.073564,0.539194,0.885334,0.854011,0.060859,-0.998146
1.083,0.937437,0.920261,0.336019,0.570278,0.072966,0.556841,0.881416,0.869479,-0.060859,0.998146
1.100,0.932481,0.924084,0.336183,0.570207,0.073564,0.539194,0.877572,0.885007,0.060859,-0.998146
1.116,0.927530,0.927903,0.336346,0.570137,0.073001,0.555803,0.874098,0.899735,-0.060859,0.998146
1.132,0.922875,0.931494,0.336510,0.570067,0.073564,0.539194,0.870693,0.914514,0.060859,-0.998146
1.149,0.918225,0.935082,0.336673,0.569997,0.072966,0.556841,0.867257,0.930349,-0.060859,0.998146
1.165,0.913289,0.938890,0.336837,0.569927,0.073529,0.540232,0.864093,0.944000,0.060859,-0.998146
