t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.010,0.500000,0.500000,0.675000,0.575000,0.070513,0.500265,0.953484,0.510132,0.999899,0.014183,1.911292
0.021,0.507200,0.504320,0.674825,0.574925,0.082397,0.500502,0.960000,0.518562,0.999899,0.014183,1.918656
0.037,0.513594,0.508156,0.674650,0.574850,0.094281,0.500800,0.960000,0.526636,0.999839,0.017965,1.924013
0.053,0.519981,0.511988,0.674476,0.574775,0.106165,0.501099,0.960000,0.534438,0.999839,0.017965,1.928340
0.069,0.526362,0.515817,0.674301,0.574700,0.118789,0.501560,0.960000,0.542438,0.999661,0.026034,1.932170
0.086,0.533134,0.519881,0.674127,0.574626,0.130668,0.502132,0.960000,0.549757,0.999408,0.034396,1.935534
0.103,0.539503,0.523701,0.673953,0.574551,0.142545,0.502776,0.960000,0.556873,0.999250,0.038725,1.938563
0.118,0.545864,0.527519,0.673779,0.574477,0.155164,0.503461,0.960000,0.564214,0.999250,0.038725,1.941359
0.135,0.552617,0.531570,0.673605,0.574402,0.167041,0.504105,0.960000,0.570970,0.999250,0.038725,1.943901
0.151,0.558966,0.535379,0.673431,0.574328,0.178918,0.504750,0.960000,0.577574,0.999250,0.038725,1.946240
0.167,0.565308,0.539185,0.673258,0.574253,0.191539,0.505345,0.960000,0.584425,0.999434,0.033652,1.948421
0.184,0.572041,0.543224,0.673085,0.574179,0.203418,0.505905,0.960000,0.590760,0.999434,0.033652,1.950436
0.200,0.578371,0.547022,0.672912,0.574105,0.216042,0.506401,0.960000,0.597354,0.999605,0.028093,1.952324
0.217,0.585090,0.551054,0.672739,0.574031,0.227923,0.506869,0.960000,0.603388,0.999605,0.028093,1.954138
0.234,0.591407,0.554844,0.672566,0.573957,0.240548,0.507257,0.960000,0.609571,0.999759,0.021943,1.955905
0.250,0.598112,0.558867,0.672393,0.573883,0.253175,0.507530,0.960000,0.615511,0.999881,0.015437,1.957629
0.267,0.604811,0.562887,0.672221,0.573809,0.265059,0.507794,0.960000,0.620889,0.999874,0.015875,1.959293
0.283,0.611109,0.566666,0.672049,0.573735,0.276944,0.508064,0.960000,0.626050,0.999868,0.016243,1.960895
